Frequency(Hz),Power(dBm),Power_real(dBm)
4197010000,-119.8104401,-118.9570955
4204000000,-89.61340332,-88.75929966
4210990000,-118.3117371,-117.456875
4217980000,-89.48728943,-88.63166938
4224970000,-121.3384476,-120.4820702
4231960000,-89.56954956,-88.7124153
4238950000,-128.5057373,-127.6478468
4245940000,-88.06507874,-87.20643246
4252930000,-119.3152237,-118.4558222
4259920000,-89.59860229,-88.73844615
4266910000,-119.8209076,-118.9599973
4273900000,-88.47753906,-87.61587521
4280890000,-121.7970123,-120.9345954
4287880000,-89.73314667,-88.86997727
4294870000,-121.1046753,-120.2407539
4301860000,-89.12651825,-88.26184542
4308850000,-119.0363159,-118.1708922
4315840000,-89.50267029,-88.63649616
4322830000,-119.3270874,-118.4601634
4329820000,-88.50793457,-87.64026126
4336810000,-121.894783,-121.0263609
4343800000,-88.85250854,-87.98333815
4350790000,-119.3179703,-118.4480522
4357780000,-89.57846069,-88.70779531
4364770000,-125.3906326,-124.5192205
4371760000,-90.21112061,-89.33896233
4378750000,-127.363945,-126.491041
4385740000,-89.15296936,-88.27932025
4392730000,-118.2594376,-117.3850439
4399720000,-89.02945709,-88.15431922
4406710000,-119.533165,-118.6572835
4413700000,-89.88440704,-89.00778246
4420690000,-123.4331665,-122.5557993
4427680000,-88.68534088,-87.80723164
4434670000,-121.9584351,-121.0795843
4441660000,-89.98072815,-89.10113628
4448650000,-127.0112228,-126.1308904
4455640000,-89.29904938,-88.4179769
4462630000,-117.7381363,-116.8563243
4469620000,-88.77030182,-87.88775075
4476610000,-119.0830917,-118.1998021
4483600000,-89.87490082,-88.99087317
4490590000,-120.4050827,-119.5203175
4497580000,-90.13098907,-89.24548683
4504570000,-123.191452,-122.3052132
4511560000,-89.06640625,-88.17943141
4518550000,-124.0181351,-123.1304247
4525540000,-89.47537231,-88.58692685
4532530000,-121.7939835,-120.9048035
4539520000,-88.30543518,-87.41552107
4546510000,-125.6228104,-124.7321627
4553500000,-89.62103271,-88.72965191
4560490000,-121.24366,-120.3515466
4567480000,-89.18247986,-88.28963432
4574470000,-120.8279648,-119.9343876
4581460000,-88.54200745,-87.64769911
4588450000,-123.2731476,-122.3781086
4595440000,-89.29868317,-88.40291397
4602430000,-121.7218628,-120.8253639
4609420000,-89.40631104,-88.5090829
4616410000,-120.2980804,-119.4001235
4623400000,-89.6463623,-88.74767713
4630390000,-120.2136688,-119.3142558
4637380000,-88.55496979,-87.6548295
4644370000,-119.3755646,-118.4746975
4651360000,-89.9666748,-89.0650813
4658350000,-119.6537094,-118.75139
4665340000,-89.96440125,-89.06135642
4672330000,-120.426712,-119.5229422
4679320000,-88.9597168,-88.05522252
4686310000,-120.5833206,-119.6781023
4693300000,-89.2889328,-88.38299094
4700290000,-120.353035,-119.4463701
4707280000,-88.71038055,-87.80299298
4714270000,-118.7639313,-117.8558216
4721260000,-89.6577301,-88.74889868
4728250000,-119.8447952,-118.9352425
4735240000,-88.89063263,-87.9803592
4742230000,-124.7309952,-123.8200015
4749220000,-89.58657074,-88.67485714
4756210000,-121.4787598,-120.5663268
4763200000,-88.83689117,-87.92373924
4770190000,-124.8318024,-123.917932
4777180000,-89.80509186,-88.89050342
4784170000,-117.6960602,-116.7807542
4791160000,-88.66661835,-87.75059521
4798150000,-121.8891525,-120.9724127
4805140000,-88.88108063,-87.9636246
4812130000,-121.5390091,-120.6208373
4819120000,-89.7779541,-88.85906698
4826110000,-120.4423523,-119.5227503
4833100000,-89.03568268,-88.11536627
4840090000,-125.5129395,-124.5919091
4847080000,-88.03299713,-87.11125321
4854070000,-122.5370178,-121.6145608
4861060000,-88.60607147,-87.68290181
4868050000,-120.0635834,-119.1397015
4875040000,-88.91051483,-87.9859212
4882030000,-123.0357208,-122.1104159
4889020000,-88.53896332,-87.61294749
4896010000,-122.1410751,-121.2143488
4903000000,-89.35654449,-88.42910821
4909990000,-121.7982864,-120.8701405
4916980000,-89.25819397,-88.32933898
4923970000,-120.2274551,-119.2978914
4930960000,-88.96429443,-88.03402247
4937950000,-117.3586197,-116.4276399
4944940000,-88.71439362,-87.78270643
4951930000,-126.1807709,-125.2483767
4958920000,-89.24355316,-88.31045246
4965910000,-117.7440796,-116.8102728
4972900000,-88.68148804,-87.74697554
4979890000,-121.7906265,-120.8554087
